Date,Open,High,Low,Close,Adj Close,Volume
2021-01-26,3.698959,4.096916,3.682632,4.047350,4.047350,78823456
2021-01-27,4.048630,4.048630,3.531602,3.690587,3.690587,35195110
2021-01-28,3.686370,3.943491,3.609881,3.822072,3.822072,31410527
2021-01-29,3.861581,3.892602,3.639386,3.834676,3.834676,44053151
2021-01-30,3.837682,4.311976,3.774104,4.224276,4.224276,53378198
2021-01-31,4.237314,4.787010,4.170498,4.264144,4.264144,78376267
2021-02-01,4.261251,4.611602,4.118255,4.611602,4.611602,39361629
2021-02-02,4.613741,5.403642,4.480119,5.267508,5.267508,98755962
2021-02-03,5.246592,5.780781,5.072738,5.715990,5.715990,49386327
2021-02-04,5.731748,6.531011,5.603236,6.426065,6.426065,108249482
2021-02-05,6.435370,7.127117,6.426447,6.681720,6.681720,92892157
2021-02-06,6.687301,6.799131,5.713828,6.110807,6.110807,102365494
2021-02-07,6.117645,6.871514,5.768592,6.700463,6.700463,105451103
2021-02-08,6.702447,8.055933,6.488928,7.883250,7.883250,155254261
2021-02-09,7.869795,8.467784,7.570215,7.816793,7.816793,121037873
2021-02-10,7.818552,9.072604,7.613847,9.072214,9.072214,120679902
2021-02-11,9.080357,9.707004,8.761316,9.215352,9.215352,53600048
2021-02-12,9.214790,9.924452,9.079012,9.247012,9.247012,91484664
2021-02-13,9.236033,9.499039,8.683009,8.732455,8.732455,91417968
2021-02-14,8.742989,9.220300,8.559715,8.738896,8.738896,93500423
2021-02-15,8.724266,9.310638,7.840471,8.861739,8.861739,109854635
2021-02-16,8.860748,8.980368,7.983557,8.297867,8.297867,71625205
2021-02-17,8.298689,8.433298,7.544399,8.222577,8.222577,89948578
2021-02-18,8.232871,9.279175,8.232871,8.980452,8.980452,77306770
2021-02-19,8.979970,11.680577,8.556981,11.465653,11.465653,261175711
2021-02-20,11.478087,11.786737,9.815854,10.002664,10.002664,140264810
2021-02-21,9.987550,11.640289,9.887047,11.085513,11.085513,137742366
2021-02-22,11.073036,14.545641,9.255904,14.454785,14.454785,574136241
2021-02-23,14.421626,15.743371,11.599894,15.201538,15.201538,485252846
2021-02-24,15.213842,18.146622,14.861799,17.302708,17.302708,375439707
2021-02-25,17.230183,17.695444,13.795913,13.816014,13.816014,364505276
2021-02-26,13.865891,15.483705,13.120141,13.587941,13.587941,289687328
2021-02-27,13.601574,14.612065,13.057273,13.201168,13.201168,247640940
2021-02-28,13.207767,13.779016,11.489983,13.089247,13.089247,300493226
2021-03-01,13.108435,15.516057,13.057385,14.955588,14.955588,306451693
2021-03-02,14.966845,15.224125,13.460749,13.958921,13.958921,178549852
2021-03-03,13.963540,14.729359,13.767049,14.115591,14.115591,153830742
2021-03-04,14.094867,14.260361,12.771270,13.097983,13.097983,116364466
2021-03-05,13.066306,13.079862,12.184608,12.610443,12.610443,90978408
2021-03-06,12.569937,13.270481,11.901228,13.036458,13.036458,118851546
2021-03-07,13.043927,13.996903,12.726385,13.877732,13.877732,117548176
2021-03-08,13.826815,13.870826,13.082289,13.602188,13.602188,115525659
2021-03-09,13.615291,14.986444,13.320187,14.846311,14.846311,134867044
2021-03-10,14.850929,15.187938,14.079064,14.231084,14.231084,103150901
2021-03-11,14.219837,16.239399,13.704226,15.992279,15.992279,229272516
2021-03-12,16.020920,16.485796,14.111229,14.552142,14.552142,185287457
2021-03-13,14.563803,15.394398,13.920056,15.308803,15.308803,145102757
2021-03-14,15.301581,15.349832,14.378764,14.508266,14.508266,90232804
2021-03-15,14.477127,14.790473,13.698057,14.186662,14.186662,102600692
2021-03-16,14.163912,14.282896,13.229815,13.622773,13.622773,112303590
2021-03-17,13.634964,14.266797,13.130529,14.220203,14.220203,94696339
2021-03-18,14.210677,14.745477,13.827284,14.230025,14.230025,79074263
2021-03-19,14.232650,14.488219,13.932458,14.204796,14.204796,68715211
2021-03-20,14.195826,14.978218,14.152045,14.211981,14.211981,68049683
2021-03-21,14.218328,14.365723,13.668254,14.332206,14.332206,64229338
2021-03-22,14.350278,16.599873,14.202886,14.919293,14.919293,260995136
2021-03-23,14.848619,15.243709,14.097057,14.204831,14.204831,106780662
2021-03-24,14.190396,15.371431,13.661298,13.661298,13.661298,118813690
2021-03-25,13.650586,13.705250,12.614725,13.025085,13.025085,116277943
2021-03-26,13.019528,14.804294,12.370458,14.779421,14.779421,149987319
2021-03-27,14.786246,16.804165,14.758046,16.508322,16.508322,223872587
2021-03-28,16.479424,19.386005,16.345009,18.016233,18.016233,426120062
2021-03-29,18.083303,18.987843,17.700363,18.854809,18.854809,216748601
2021-03-30,18.891403,20.869474,18.891403,19.233925,19.233925,264028427
2021-03-31,19.101685,19.795801,18.156256,19.465229,19.465229,206011018
2021-04-01,19.415682,20.361540,18.844246,19.084902,19.084902,173731886
2021-04-02,19.084631,19.824574,18.568419,19.810223,19.810223,131061660
2021-04-03,19.796452,23.827188,19.789450,22.552277,22.552277,483057740
2021-04-04,22.527370,25.569532,22.212969,24.061323,24.061323,426557980
2021-04-05,23.928839,24.777637,22.806452,22.984283,22.984283,264085329
2021-04-06,22.977840,25.346525,21.876614,24.957146,24.957146,320886935
2021-04-07,25.145559,27.487616,23.089359,26.478081,26.478081,676846221
2021-04-08,26.514593,27.970011,25.724936,27.033987,27.033987,377988327
2021-04-09,26.985804,29.014734,26.903826,27.778275,27.778275,282477938
2021-04-10,27.649712,28.257971,25.963226,26.841404,26.841404,270235258
2021-04-11,26.808050,28.687227,25.578320,27.931890,27.931890,232938762
2021-04-12,27.918367,29.862303,26.842743,28.512123,28.512123,308804546
2021-04-13,28.541012,28.797941,26.417603,27.435553,27.435553,258183912
2021-04-14,27.400005,27.482693,24.792021,26.475111,26.475111,342565805
2021-04-15,26.436844,28.249399,25.539415,27.818314,27.818314,221346739
2021-04-16,27.820324,28.226879,24.972918,25.397366,25.397366,240665351
2021-04-17,25.369205,26.819767,25.099874,25.099874,25.099874,201720376
2021-04-18,25.135502,32.902569,21.539209,32.302917,32.302917,1155150688
2021-04-19,32.339523,36.080257,29.925907,31.675896,31.675896,1219130981
2021-04-20,31.476290,32.697220,28.932571,31.770054,31.770054,793008154
2021-04-21,31.681538,35.004303,30.167492,32.513042,32.513042,729130141
2021-04-22,32.683430,40.971863,31.600691,38.879761,38.879761,1638622971
2021-04-23,38.899181,41.463261,31.664270,36.978420,36.978420,1612232268
2021-04-24,37.257496,43.532223,34.683292,40.737316,40.737316,1101380795
2021-04-25,40.845470,48.434265,40.512016,47.367626,47.367626,1583800800
2021-04-26,47.541855,48.310783,43.371727,43.976517,43.976517,1357487872
2021-04-27,43.893570,46.548611,42.557327,43.239002,43.239002,904891996
2021-04-28,43.161442,46.916565,40.672073,44.825985,44.825985,1021154320
2021-04-29,44.849949,46.071491,40.950985,42.460541,42.460541,772259307
2021-04-30,42.500046,44.270153,41.243504,42.956001,42.956001,534976437
2021-05-01,42.893337,49.844578,42.030865,49.508022,49.508022,859524423
2021-05-02,49.500805,49.896671,45.981823,46.890987,46.890987,571072187
2021-05-03,46.903976,49.009453,45.044476,45.933689,45.933689,609194252
2021-05-04,45.983360,47.757156,42.313103,42.729557,42.729557,682976428
2021-05-05,42.637238,45.927792,42.315735,44.923576,44.923576,503781975
2021-05-06,44.974052,44.974052,42.591583,43.455677,43.455677,391497018
2021-05-07,43.502655,46.059563,41.438374,43.155018,43.155018,514344601
2021-05-08,43.152065,46.639027,42.298019,45.561531,45.561531,451056655
2021-05-09,45.617630,47.121216,43.296944,44.330196,44.330196,510603312
2021-05-10,44.342094,45.877502,39.558849,42.909634,42.909634,499528076
2021-05-11,42.872272,45.151203,39.762970,44.577469,44.577469,473731333
2021-05-12,44.591526,48.979034,42.457310,42.457310,42.457310,1151668076
2021-05-13,43.235085,45.417099,37.526894,40.997852,40.997852,1016860656
2021-05-14,41.034519,44.791435,39.986053,42.717865,42.717865,504167711
2021-05-15,42.699947,45.391788,39.374607,43.461308,43.461308,500445722
2021-05-16,43.401691,52.501350,41.915497,47.200829,47.200829,1990976771
2021-05-17,46.898022,51.876030,43.302917,46.863205,46.863205,1951921366
2021-05-18,46.660419,58.302925,46.187557,55.910961,55.910961,2025388219
2021-05-19,56.089256,57.525772,29.429859,35.107182,35.107182,2772224999
2021-05-20,35.043045,51.258450,32.318142,44.742748,44.742748,2487748626
2021-05-21,44.447254,47.645592,33.837395,38.812851,38.812851,1769762028
2021-05-22,38.988380,40.009579,31.254862,31.315582,31.315582,1078751751
2021-05-23,31.225767,32.436268,19.139839,24.688747,24.688747,1925832341
2021-05-24,24.498320,32.094452,24.498320,31.283571,31.283571,1346786023
2021-05-25,31.396347,33.130127,26.100075,29.997078,29.997078,909470305
2021-05-26,30.047991,37.237637,29.008554,35.539818,35.539818,1069991365
2021-05-27,35.482449,35.527050,31.127129,33.584591,33.584591,649389058
2021-05-28,33.675526,34.502506,28.067144,29.039276,29.039276,600255582
2021-05-29,29.003130,30.022339,25.750940,27.376421,27.376421,376859866
2021-05-30,27.408316,29.749254,25.650293,28.602659,28.602659,359661704
2021-05-31,28.604240,32.983589,27.524746,32.816246,32.816246,534826504
2021-06-01,32.770885,33.289917,29.880173,30.985260,30.985260,432053117
2021-06-02,30.935238,35.038155,30.432858,33.956318,33.956318,497567418
2021-06-03,34.018715,41.145378,33.792233,39.470905,39.470905,960056106
